Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR10357107,RNA-Seq,299,9440973953,PRJNA580004,SAMN13149040,3468853450,blastomere,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2-cell,SRX7066508,GSM4142694,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Sus scrofa,ILLUMINA,2019-10-29T00:00:00Z,2019-10-28T16:33:00Z,1,GSM4142694,in vivo embryo,SRP227266
SRR10357108,RNA-Seq,299,9830758192,PRJNA580004,SAMN13149039,3888871010,blastomere,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2-cell,SRX7066509,GSM4142695,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Sus scrofa,ILLUMINA,2019-10-29T00:00:00Z,2019-10-28T16:35:00Z,1,GSM4142695,in vivo embryo,SRP227266
SRR10357109,RNA-Seq,299,11397662078,PRJNA580004,SAMN13149038,4181983225,blastomere,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2-cell,SRX7066510,GSM4142696,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Sus scrofa,ILLUMINA,2019-10-29T00:00:00Z,2019-10-28T16:41:00Z,1,GSM4142696,in vivo embryo,SRP227266
SRR10357110,RNA-Seq,299,8517110356,PRJNA580004,SAMN13149037,3127063257,blastomere,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2-cell,SRX7066511,GSM4142697,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Sus scrofa,ILLUMINA,2019-10-29T00:00:00Z,2019-10-28T16:31:00Z,1,GSM4142697,in vivo embryo,SRP227266
SRR10357111,RNA-Seq,299,13355923196,PRJNA580004,SAMN13149036,4877801951,blastomere,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2-cell,SRX7066512,GSM4142698,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Sus scrofa,ILLUMINA,2019-10-29T00:00:00Z,2019-10-28T16:41:00Z,1,GSM4142698,in vivo embryo,SRP227266
SRR10357112,RNA-Seq,299,11191898215,PRJNA580004,SAMN13149052,4121636115,blastomere,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2-cell,SRX7066513,GSM4142699,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Sus scrofa,ILLUMINA,2019-10-29T00:00:00Z,2019-10-28T16:38:00Z,1,GSM4142699,in vivo embryo,SRP227266
SRR10357113,RNA-Seq,299,9148061841,PRJNA580004,SAMN13149051,3351050758,blastomere,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2-cell,SRX7066514,GSM4142700,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Sus scrofa,ILLUMINA,2019-10-29T00:00:00Z,2019-10-28T16:36:00Z,1,GSM4142700,in vivo embryo,SRP227266
SRR10357114,RNA-Seq,299,9950730926,PRJNA580004,SAMN13149035,3618954928,blastomere,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-cell,SRX7066515,GSM4142701,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Sus scrofa,ILLUMINA,2019-10-29T00:00:00Z,2019-10-28T16:38:00Z,1,GSM4142701,in vivo embryo,SRP227266
SRR10357115,RNA-Seq,299,10484625783,PRJNA580004,SAMN13149034,3824479825,blastomere,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-cell,SRX7066516,GSM4142702,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Sus scrofa,ILLUMINA,2019-10-29T00:00:00Z,2019-10-28T16:36:00Z,1,GSM4142702,in vivo embryo,SRP227266
SRR10357116,RNA-Seq,299,9678988889,PRJNA580004,SAMN13149055,3521555266,blastomere,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4-cell,SRX7066517,GSM4142703,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Sus scrofa,ILLUMINA,2019-10-29T00:00:00Z,2019-10-28T16:31:00Z,1,GSM4142703,in vivo embryo,SRP227266
