ENSSSCG00000004832	UBE3A
ENSSSCG00000026014	SNORD109A
ENSSSCG00000019409	SNORD115
ENSSSCG00000019878	SNORD115
ENSSSCG00000019155	SNORD115
ENSSSCG00000020399	SNORD115
ENSSSCG00000018361	SNORD115
ENSSSCG00000020442	SNORD116
ENSSSCG00000020119	SNORD116
ENSSSCG00000029014	SNORD116
ENSSSCG00000025061	SNORD116
ENSSSCG00000026099	SNORD116
ENSSSCG00000027296	SNORD116
ENSSSCG00000019192	ensembl
ENSSSCG00000004834	ensembl
ENSSSCG00000004835	ensembl
ENSSSCG00000004836	MKRN3
ENSSSCG00000026997	ensembl
ENSSSCG00000004839	ensembl
