ENSSSCG00000000002		35
ENSSSCG00000000003	TTC38	235
ENSSSCG00000000005	CDPF1	149
ENSSSCG00000000006	PPARA	29
ENSSSCG00000000007	TRMU	664
ENSSSCG00000000010	FBLN1	472
ENSSSCG00000000014	FAM118A	1753
ENSSSCG00000000018	KIAA0930	4074
ENSSSCG00000000019	NUP50	3024
ENSSSCG00000000020	PHF21B	6
ENSSSCG00000000021		11
ENSSSCG00000000022	RTL6	521
ENSSSCG00000000024	PARVB	212
ENSSSCG00000000025		0
ENSSSCG00000000026	SULT4A1	1
ENSSSCG00000000028		0
ENSSSCG00000000029	SCUBE1	0
ENSSSCG00000000031	MCAT	240
ENSSSCG00000000033	TSPO	2741
ENSSSCG00000000034	TTLL12	2963
ENSSSCG00000000035	TTLL1	670
ENSSSCG00000000036	PACSIN2	2203
ENSSSCG00000000037	ARFGAP3	2063
ENSSSCG00000000038	CYB5R3	3156
ENSSSCG00000000039	POLDIP3	3463
ENSSSCG00000000040	SEPTIN3	6
ENSSSCG00000000045	NDUFA6	590
ENSSSCG00000000046	CYP2D25	0
ENSSSCG00000000050	NAGA	1408
ENSSSCG00000000057		0
ENSSSCG00000000058	SNU13	2889
ENSSSCG00000000059	XRCC6	387
ENSSSCG00000000061	PMM1	83
ENSSSCG00000000062	CSDC2	312
ENSSSCG00000000063	POLR3H	864
ENSSSCG00000000064	ACO2	4235
ENSSSCG00000000066	L3MBTL2	697
ENSSSCG00000000067	CHADL	0
ENSSSCG00000000068	EP300	937
ENSSSCG00000000071	ST13	5744
ENSSSCG00000000072	SLC25A17	4049
ENSSSCG00000000073		36
ENSSSCG00000000074	MCHR1	129
ENSSSCG00000000075	MRTFA	247
ENSSSCG00000000076	SGSM3	952
ENSSSCG00000000077	ADSL	849
ENSSSCG00000000078	TNRC6B	1546
ENSSSCG00000000079	FAM83F	0
ENSSSCG00000000080	GRAP2	0
ENSSSCG00000000081	ENTHD1	0
ENSSSCG00000000082	CACNA1I	1
ENSSSCG00000000084	ATF4	7455
ENSSSCG00000000087	TAB1	617
ENSSSCG00000000091	APOBEC3B	69
ENSSSCG00000000092	NPTXR	39
ENSSSCG00000000093	DNAL4	75
ENSSSCG00000000094	SUN2	1328
ENSSSCG00000000095	GTPBP1	1085
ENSSSCG00000000097		1873
ENSSSCG00000000103	DMC1	2
ENSSSCG00000000104	DDX17	5809
ENSSSCG00000000105	KDELR3	7329
ENSSSCG00000000106	KCNJ4	1
ENSSSCG00000000107		7079
ENSSSCG00000000108	TMEM184B	297
ENSSSCG00000000110	PLA2G6	400
ENSSSCG00000000111	BAIAP2L2	100
ENSSSCG00000000113	SLC16A8	11
ENSSSCG00000000114	PICK1	190
ENSSSCG00000000116	POLR2F	1667
ENSSSCG00000000117	C22orf23	26
ENSSSCG00000000118	MICALL1	436
ENSSSCG00000000119	EIF3L	3448
ENSSSCG00000000120	ANKRD54	304
ENSSSCG00000000121	GALR3	37
ENSSSCG00000000130	CYTH4	0
ENSSSCG00000000131	ELFN2	0
ENSSSCG00000000132	TEX33	0
ENSSSCG00000000133	TST	187
ENSSSCG00000000135	KCTD17	88
ENSSSCG00000000136	CSF2RB	0
ENSSSCG00000000137	NCF4	1
ENSSSCG00000000138	PVALB	0
ENSSSCG00000000139	IFT27	103
ENSSSCG00000000141	EIF3D	3094
ENSSSCG00000000142	FOXRED2	223
ENSSSCG00000000144	TXN2	1951
ENSSSCG00000000145		2819
ENSSSCG00000000146	MYH11	4395
ENSSSCG00000000148		213
ENSSSCG00000000151		0
ENSSSCG00000000152	RBFOX2	4501
ENSSSCG00000000156	FBXO7	449
ENSSSCG00000000157	BPIFC	0
ENSSSCG00000000158	RTCB	4714
ENSSSCG00000000159	ASCL4	0
ENSSSCG00000000160	PRDM4	296
ENSSSCG00000000161	PWP1	3198
ENSSSCG00000000162	BTBD11	0
ENSSSCG00000000164	CRY1	959
ENSSSCG00000000167	RIC8B	570
ENSSSCG00000000169	POLR3B	1422
ENSSSCG00000000171	CKAP4	3567
ENSSSCG00000000174	TEX49	2
ENSSSCG00000000175	ADCY6	118
ENSSSCG00000000176	DDX23	1390
ENSSSCG00000000179	CCDC65	137
ENSSSCG00000000182	WNT10B	5
ENSSSCG00000000183	WNT1	6
ENSSSCG00000000184	DDN	4
ENSSSCG00000000185	PRKAG1	1096
ENSSSCG00000000186	RHEBL1	8
ENSSSCG00000000188	DHH	0
ENSSSCG00000000189	LMBR1L	506
ENSSSCG00000000190	TUBA1B	112449
ENSSSCG00000000194		26456
ENSSSCG00000000195	PRPH	0
ENSSSCG00000000197	C1QL4	6
ENSSSCG00000000198	DNAJC22	0
ENSSSCG00000000199	SPATS2	489
ENSSSCG00000000202	MCRS1	1153
ENSSSCG00000000203	KCNH3	5
ENSSSCG00000000204	PRPF40B	142
ENSSSCG00000000205	FAM186B	2
ENSSSCG00000000206	FAIM2	0
ENSSSCG00000000207		574
ENSSSCG00000000209	NCKAP5L	81
ENSSSCG00000000211	AQP5	2
ENSSSCG00000000212	AQP6	0
ENSSSCG00000000214	GPD1	154
ENSSSCG00000000215	SMARCD1	570
ENSSSCG00000000216	ASIC1	71
ENSSSCG00000000217	RACGAP1	325
ENSSSCG00000000220	POU6F1	42
ENSSSCG00000000223	BIN2	1
ENSSSCG00000000228	SCN8A	5
ENSSSCG00000000231		0
ENSSSCG00000000232	ACVRL1	1
ENSSSCG00000000233	ACVR1B	35
ENSSSCG00000000234	GRASP	40
ENSSSCG00000000235	KRT82	0
ENSSSCG00000000236	KRT75	0
ENSSSCG00000000238		0
ENSSSCG00000000239		3
ENSSSCG00000000240	KRT85	0
ENSSSCG00000000241	KRT84	0
ENSSSCG00000000247	KRT71	0
ENSSSCG00000000248	KRT5	0
ENSSSCG00000000249	KRT72	0
ENSSSCG00000000250	KRT73	0
ENSSSCG00000000251	KRT1	0
ENSSSCG00000000252	KRT8	1
ENSSSCG00000000253	KRT18	0
ENSSSCG00000000257	ITGB7	2
ENSSSCG00000000258	RARG	1276
ENSSSCG00000000259	CSAD	110
ENSSSCG00000000260	SOAT2	40
ENSSSCG00000000261		3422
ENSSSCG00000000262	SPRYD3	2662
ENSSSCG00000000263	TNS2	319
ENSSSCG00000000264	MFSD5	2073
ENSSSCG00000000265	ESPL1	35
ENSSSCG00000000267	C12orf10	1150
ENSSSCG00000000268	AAAS	337
ENSSSCG00000000271	AMHR2	0
ENSSSCG00000000272	SP1	212
ENSSSCG00000000273	PRR13	1878
ENSSSCG00000000274	PCBP2	471
ENSSSCG00000000275	MAP3K12	459
ENSSSCG00000000276	TARBP2	560
ENSSSCG00000000277	NPFF	6
ENSSSCG00000000278		1937
ENSSSCG00000000279	HOXC13	385
ENSSSCG00000000281	HOXC12	52
ENSSSCG00000000288	HNRNPA1	2539
ENSSSCG00000000289	NFE2	3
ENSSSCG00000000290	COPZ1	2630
ENSSSCG00000000291		5
ENSSSCG00000000292	ZNF385A	27
ENSSSCG00000000293	ITGA5	59140
ENSSSCG00000000295	NCKAP1L	24
ENSSSCG00000000296		0
ENSSSCG00000000297	PDE1B	24
ENSSSCG00000000298	PPP1R1A	5
ENSSSCG00000000299	TESPA1	0
ENSSSCG00000000312		0
ENSSSCG00000000318		0
ENSSSCG00000000327		0
ENSSSCG00000000332		0
ENSSSCG00000000333		0
ENSSSCG00000000352		0
ENSSSCG00000000353		0
ENSSSCG00000000359		684
ENSSSCG00000000361	CD63	34535
ENSSSCG00000000362	RDH5	0
ENSSSCG00000000363	GDF11	45
ENSSSCG00000000364	SARNP	1929
ENSSSCG00000000365	ORMDL2	1943
ENSSSCG00000000366	DNAJC14	6677
ENSSSCG00000000367		352
ENSSSCG00000000368	MMP19	2365
ENSSSCG00000000370	DGKA	632
ENSSSCG00000000371	PMEL	16
ENSSSCG00000000376	SUOX	629
ENSSSCG00000000377	PA2G4	5342
ENSSSCG00000000379	ESYT1	6272
ENSSSCG00000000382	SMARCC2	1216
ENSSSCG00000000383	RNF41	194
ENSSSCG00000000384	NABP2	184
ENSSSCG00000000385	SLC39A5	2
ENSSSCG00000000386	ANKRD52	516
ENSSSCG00000000393	PAN2	1120
ENSSSCG00000000394		1720
ENSSSCG00000000396	STAT2	1327
ENSSSCG00000000398	APOF	1
ENSSSCG00000000399	TIMELESS	31
ENSSSCG00000000400	MIP	1
ENSSSCG00000000401	GLS2	21
ENSSSCG00000000402	RBMS2	148
ENSSSCG00000000403	BAZ2A	525
ENSSSCG00000000405		30660
ENSSSCG00000000406	PTGES3	1703
ENSSSCG00000000411	NAB2	1688
ENSSSCG00000000413	MYO1A	0
ENSSSCG00000000415	SDR9C7	0
ENSSSCG00000000418	TAC3	0
ENSSSCG00000000419	RDH16	5
ENSSSCG00000000431	MBD6	39
ENSSSCG00000000433	B4GALNT1	99
ENSSSCG00000000435		55
ENSSSCG00000000436	PIP4K2C	245
ENSSSCG00000000437	ARHGAP9	81
ENSSSCG00000000439	KIF5A	243
ENSSSCG00000000442	INHBE	0
ENSSSCG00000000443	GLI1	4
ENSSSCG00000000444	DCTN2	1647
ENSSSCG00000000449	DTX3	368
ENSSSCG00000000453	ATP23	310
ENSSSCG00000000455	LRIG3	826
ENSSSCG00000000456	SLC16A7	466
ENSSSCG00000000457	USP15	3747
ENSSSCG00000000458	MON2	5221
ENSSSCG00000000462	RXYLT1	884
ENSSSCG00000000464	C12orf56	30
ENSSSCG00000000466	XPOT	8454
ENSSSCG00000000469	LEMD3	1721
ENSSSCG00000000473		6131
ENSSSCG00000000475	IRAK3	447
ENSSSCG00000000477	HELB	460
ENSSSCG00000000478	GRIP1	6
ENSSSCG00000000482	IL22	0
ENSSSCG00000000483	MDM1	59
ENSSSCG00000000486	NUP107	1056
ENSSSCG00000000487	SLC35E3	306
ENSSSCG00000000488	MDM2	5264
ENSSSCG00000000492	LYZ	3895
ENSSSCG00000000493	FRS2	1051
ENSSSCG00000000496	CCT2	7205
ENSSSCG00000000499	BEST3	1
ENSSSCG00000000500		7205
ENSSSCG00000000502	CNOT2	3038
ENSSSCG00000000504	PTPRB	0
ENSSSCG00000000509	ZFC3H1	1770
ENSSSCG00000000510	TMEM19	6099
ENSSSCG00000000512	TBC1D15	3310
ENSSSCG00000000515	TRHDE	0
ENSSSCG00000000516	KCNC2	0
ENSSSCG00000000517	CAPS2	6
ENSSSCG00000000519	GLIPR1	1643
ENSSSCG00000000521	PHLDA1	4133
ENSSSCG00000000522	NAP1L1	3011
ENSSSCG00000000523	BBS10	146
ENSSSCG00000000527	SYT10	0
ENSSSCG00000000528	PKP2	203
ENSSSCG00000000530		2928
ENSSSCG00000000531	BICD1	50
ENSSSCG00000000534	IPO8	2198
ENSSSCG00000000536	ERGIC2	2955
ENSSSCG00000000540	OVCH1	0
ENSSSCG00000000541	FAR2	1217
ENSSSCG00000000545	KLHL42	2610
ENSSSCG00000000546	MANSC4	937
ENSSSCG00000000547	MRPS35	1429
ENSSSCG00000000549	PPFIBP1	1054
ENSSSCG00000000550	SMCO2	0
ENSSSCG00000000551	ARNTL2	6281
ENSSSCG00000000553	TM7SF3	1448
ENSSSCG00000000554	FGFR1OP2	1348
ENSSSCG00000000555	ITPR2	141
ENSSSCG00000000559	RASSF8	1397
ENSSSCG00000000563		7
ENSSSCG00000000567	SOX5	446
ENSSSCG00000000570	C2CD5	602
ENSSSCG00000000571	ABCC9	63
ENSSSCG00000000573	KCNJ8	58
ENSSSCG00000000576		9741
ENSSSCG00000000577	GYS2	0
ENSSSCG00000000579	GOLT1B	7715
ENSSSCG00000000580	RECQL	1674
ENSSSCG00000000582	IAPP	0
ENSSSCG00000000583	PYROXD1	1266
ENSSSCG00000000584	SLCO1A2	9
ENSSSCG00000000585	SLCO1C1	0
ENSSSCG00000000587	AEBP2	1869
ENSSSCG00000000588	PLEKHA5	1168
ENSSSCG00000000589		0
ENSSSCG00000000590	PLCZ1	0
ENSSSCG00000000591	PIK3C2G	0
ENSSSCG00000000598	SLC15A5	0
ENSSSCG00000000599	DERA	854
ENSSSCG00000000600	EPS8	20451
ENSSSCG00000000601	PTPRO	3
ENSSSCG00000000602	RERG	1
ENSSSCG00000000605	ERP27	2
ENSSSCG00000000607	ART4	1
ENSSSCG00000000610	SMCO3	0
ENSSSCG00000000611		3337
ENSSSCG00000000612	ATF7IP	1728
ENSSSCG00000000614	GRIN2B	0
ENSSSCG00000000619	FAM234B	887
ENSSSCG00000000623	BCL2L14	12
ENSSSCG00000000625	LRP6	2593
ENSSSCG00000000629	TP23	0
ENSSSCG00000000631	TAS2R9	0
ENSSSCG00000000633	YBX3	11503
ENSSSCG00000000634	STYK1	2
ENSSSCG00000000635	MAGOHB	250
ENSSSCG00000000636		3
ENSSSCG00000000638		0
ENSSSCG00000000639		0
ENSSSCG00000000640		0
ENSSSCG00000000642	KLRD1	0
ENSSSCG00000000645	GABARAPL1	107
ENSSSCG00000000647	OLR1	2
ENSSSCG00000000648	CLEC7A	0
ENSSSCG00000000649	CLEC1A	0
