Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,,PWSIC,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,0,0,0,0,0,0,0,0,,,,,,,,1750,,,,,,,,,,,,,,,,,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,,,,,,,,,,,,,,
A01,,UBE3A,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,0,0,0,0,0,0,0,0,,,,,,,,1750,,,,,,,,,,,,,,,,,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,,,,,,,,,,,,,,
A02,EK08,PWSIC,425.380737304688,Manual,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,8507.615234375,,,438.549346923828,412.357940673828,13506,4098,9408,1592,2506,3576,5832,4.83559430983223,1.49933910369873,,,1.56126245052367,1.43741578729887,2,,1750,,,UBE3A,0.749669559455634,,,0.780631225261834,0.718707893649433,42.8463509240496,,,43.8577259992638,41.8349758488354,8142.08076354176,623.70260524101,2904.93418325941,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,432.081024169922,418.718444824219,,,1.53093153904274,1.46774669877979,,,0.765465769521372,0.733873349389895,,,43.3623403815722,42.3303614665271
A02,EK08,UBE3A,567.42431640625,Manual,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),HEX,11348.486328125,,,583.149780273438,551.90625,13506,5168,8338,1592,2506,3576,5832,4.83559430983223,,,,,,,,1750,,,,,,,,,,,,,,4964.63821718198,962.811713709366,2494.08961759998,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,575.421203613281,559.481323242188,,,,,,,,,,,,
A03,EK16,PWSIC,338.580444335938,Manual,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,6771.60888671875,,,349.512603759766,327.748931884766,14975,3745,11230,1070,2675,3122,8108,3.14562819182864,1.7526398897171,,,1.83018685562276,1.67509293342737,2,,1750,,,UBE3A,0.876319947262534,,,0.915093427811381,0.837546466713687,46.7041854210976,,,47.8055243654098,45.6028464767854,8406.07685977136,642.217665591966,2583.83053251697,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,344.145355224609,333.041687011719,,,1.7922038226566,1.71307596639353,,,0.896101911328301,0.856537983196767,,,47.2660810031351,46.1422898390601
A03,EK16,UBE3A,386.366241455078,Manual,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),HEX,7727.32470703125,,,398.174133300781,374.675720214844,14975,4192,10783,1070,2675,3122,8108,3.14562819182864,,,,,,,,1750,,,,,,,,,,,,,,5111.53239152632,965.149924028409,2125.8601279517,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,392.375915527344,380.387176513672,,,,,,,,,,,,
A04,EK24,PWSIC,0.29610401391983,Manual,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,5.92208003997803,,,0.78493744134903,0.0702686086297035,11921,3,11918,1,2,4427,7491,0,0.00108408741652966,,,0.00239274652937061,0,2,,1750,,,UBE3A,0.000542043708810709,,,0.0011963732646853,0,0.0541750056600781,,,0.119537083836874,0,6672.15201822917,635.87231618155,637.391386654342,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,0.506975531578064,0.153866082429886,,,0.0017306934366842,0.000437481398558641,,,0.000865346718342098,0.000218740699279321,,,0.0864702862171954,0.0218797251029608
A04,EK24,UBE3A,546.273315429688,Manual,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),HEX,10925.466796875,,,562.621520996094,530.149108886719,11921,4428,7493,1,2,4427,7491,0,,,,,,,,1750,,,,,,,,,,,,,,4755.93989511988,854.327568425843,2303.56331900056,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,554.585815429688,538.019104003906,,,,,,,,,,,,
A05,,PWSIC,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,0,-1,-1,,,,,,,,,,,,,1750,,,,,,,,,,,,,,,,,Copy Number Variation Experiment with a Reference Copy Number of 2,,,,,,,,,,,,,,,,,
A05,,UBE3A,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,0,-1,-1,,,,,,,,,,,,,1750,,,,,,,,,,,,,,,,,Copy Number Variation Experiment with a Reference Copy Number of 2,,,,,,,,,,,,,,,,,
