Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,,PWSIC,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,,,,,,,,,,,,,,
A01,,UBE3A,No Call,CHECK,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,,,,,,,,,,,,,,
B01,EK01,PWSIC,0,Manual,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,0,,,0.245821073651314,0,14340,0,14340,0,0,0,14340,0,,,,,,,,1750,,,UBE3A,,,,,,,,,,,0,572.707251964021,572.707251964021,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,0.112319737672806,0,,,,,,,,,,,,
B01,EK01,UBE3A,0,Manual,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX,0,,,0.245821073651314,0,14340,0,14340,0,0,0,14340,0,,,,,,,,1750,,,,,,,,,,,,,,0,902.412960934606,902.412960934606,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,0.112319737672806,0,,,,,,,,,,,,
C01,EK02,PWSIC,448.607208251953,Manual,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,8972.14453125,,,462.364837646484,435.008605957031,13194,4183,9011,1969,2214,4210,4801,2.45840418762237,1.20724773406982,,,1.25511978422937,1.15937560337414,2,,1750,,,UBE3A,0.603623846900876,,,0.627559892114684,0.579687801687068,37.6412366321082,,,38.5720173649688,36.7104558992477,7457.5001828866,616.743499684739,2785.52364261587,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,455.606292724609,441.649505615234,,,1.23167108283827,1.18282430476524,,,0.615835541419133,0.591412152382619,,,38.1161024619328,37.1663708022837
C01,EK02,UBE3A,743.190002441406,Manual,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),HEX,14863.7998046875,,,762.183044433594,724.498657226563,13194,6179,7015,1969,2214,4210,4801,2.45840418762237,,,,,,,,1750,,,,,,,,,,,,,,5898.00038985848,973.811382678162,3279.902323664,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,752.841979980469,733.616516113281,,,,,,,,,,,,
D01,EK03,PWSIC,242.981506347656,Manual,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,4859.6298828125,,,251.922485351563,234.107971191406,15375,2869,12506,1153,1716,4971,7535,1.60172097822755,0.813109159469604,,,0.849334106014618,0.77688426569758,2,,1750,,,UBE3A,0.406554592928049,,,0.424667053007309,0.38844213284879,28.9042881785141,,,29.8198006290423,27.9887757279859,7405.59759523612,608.110554804787,1876.53268937373,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,247.534744262695,238.445831298828,,,0.831590882041542,0.794627489670656,,,0.415795441020771,0.397313744835328,,,29.3713761083318,28.4372002486965
D01,EK03,UBE3A,597.660217285156,Manual,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),HEX,11953.2041015625,,,612.888793945313,582.626159667969,15375,6124,9251,1153,1716,4971,7535,1.60172097822755,,,,,,,,1750,,,,,,,,,,,,,,5865.14974341713,939.826592668561,2901.62685121713,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,605.4052734375,589.965759277344,,,,,,,,,,,,
E01,EK04,PWSIC,210.676223754883,Manual,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,4213.5244140625,,,218.907516479492,202.502136230469,15498,2541,12957,962,1579,5175,7782,0,0.710390329360962,,,0.743370787672686,0.677409923207646,2,,1750,,,UBE3A,0.355195177720083,,,0.371685393836343,0.338704961603823,26.2098909116284,,,27.1077799139763,25.3120019092806,7620.33404351257,622.022227847927,1769.4419157821,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,214.868682861328,206.498672485352,,,0.727216793763603,0.693563917116729,,,0.363608396881802,0.346781958558364,,,26.6679890291055,25.7517927941514
E01,EK04,UBE3A,593.128051757813,Manual,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),HEX,11862.560546875,,,608.221923828125,578.225463867188,15498,6137,9361,962,1579,5175,7782,0,,,,,,,,1750,,,,,,,,,,,,,,5804.19878302045,940.771973040939,2866.62371732047,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,600.804809570313,585.501098632813,,,,,,,,,,,,
F01,EK05,PWSIC,350.901947021484,Manual,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,7018.0390625,,,362.282684326172,339.630249023438,14405,3715,10690,1933,1782,5599,5091,0,0.80615371465683,,,0.838153846275701,0.774153577239689,2,,1750,,,UBE3A,0.403076855878848,,,0.419076923137851,0.387076788619845,28.7280667619859,,,29.5408203333311,27.9153131906406,7155.22024546812,632.408227442,2314.61903250739,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,356.694671630859,345.137573242188,,,0.822479665902566,0.789827757612825,,,0.411239832951283,0.394913878806412,,,29.1427205669377,28.313412957034
F01,EK05,UBE3A,870.558410644531,Manual,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),HEX,17411.16796875,,,890.8447265625,850.616027832031,14405,7532,6873,1933,1782,5599,5091,0,,,,,,,,1750,,,,,,,,,,,,,,5921.11054231762,966.685603927286,3557.22559948134,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,880.864868164063,860.341491699219,,,,,,,,,,,,
G01,EK06,PWSIC,302.744293212891,Manual,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,6054.8857421875,,,313.224884033203,292.356201171875,14333,3252,11081,1317,1935,4266,6815,8.71177135690461,1.04286515712738,,,1.08820455532608,0.99752582638897,2,,1750,,,UBE3A,0.521432595428763,,,0.544102277663041,0.498762913194485,34.2724743110828,,,35.2518289837051,33.2931196384604,7660.91787520781,611.755886207665,2211.13318253282,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,308.079895019531,297.432800292969,,,1.06599692141834,1.01973346029671,,,0.532998460709172,0.509866730148354,,,34.7721321399059,33.7728164822597
G01,EK06,UBE3A,580.601013183594,Manual,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),HEX,11612.0205078125,,,596.087524414063,565.315734863281,14333,5583,8750,1317,1935,4266,6815,8.71177135690461,,,,,,,,1750,,,,,,,,,,,,,,5782.42953191119,944.808524455915,2829.1619804402,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,588.476867675781,572.777587890625,,,,,,,,,,,,
H01,EK07,PWSIC,279.101684570313,Manual,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,5582.03369140625,,,289.087158203125,269.2001953125,14399,3041,11358,1390,1651,5141,6217,2.02352120617498,0.78508985042572,,,0.819091432247977,0.751088215687601,2,,1750,,,UBE3A,0.392544911983894,,,0.409545716123988,0.3755441078438,28.1890306449545,,,29.065730717325,27.312330572584,7558.38103696101,624.187834747578,2088.65630672001,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,284.185729980469,274.039489746094,,,0.802437091684528,0.767742556251049,,,0.401218545842264,0.383871278125525,,,28.6363139245386,27.7417473653704
H01,EK07,UBE3A,711.005737304688,Manual,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),HEX,14220.115234375,,,728.644958496094,693.627014160156,14399,6531,7868,1390,1651,5141,6217,2.02352120617498,,,,,,,,1750,,,,,,,,,,,,,,5811.85919627755,948.721324108068,3154.51015966185,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,719.972290039063,702.10693359375,,,,,,,,,,,,
A02,EK08,PWSIC,278.340881347656,Manual,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,5566.8173828125,,,288.727935791016,268.044708251953,13271,2796,10475,1228,1568,4699,5776,0,0.799698233604431,,,0.835887045452132,0.763509367307198,2,,1750,,,UBE3A,0.399849103189832,,,0.417943522726066,0.381754683653599,28.5637289246889,,,29.4871126351155,27.6403452142623,7699.2103414249,629.846662979308,2119.25521131281,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,283.628936767578,273.076477050781,,,0.81816129410313,0.781235118656199,,,0.409080647051565,0.3906175593281,,,29.0348276082882,28.0926302410896
A02,EK08,UBE3A,696.114807128906,Manual,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),HEX,13922.2958984375,,,714.235534667969,678.268859863281,13271,5927,7344,1228,1568,4699,5776,0,,,,,,,,1750,,,,,,,,,,,,,,5941.85489792146,966.556238344812,3188.58887758154,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,705.3251953125,686.975952148438,,,,,,,,,,,,
B02,EK09,PWSIC,236.297988891602,Manual,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,4725.9599609375,,,245.52653503418,227.141250610352,13997,2547,11450,621,1926,3161,8289,0,1.27531659603119,,,1.3395611126113,1.21107202759663,2,,1750,,,UBE3A,0.637658285051981,,,0.669780556305649,0.605536013798314,38.9372002005743,,,40.1349322528402,37.7394681483084,7485.2984357938,621.929875442971,1870.8403364856,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,240.99739074707,231.617279052734,,,1.30809379765919,1.24253934254873,,,0.654046898829596,0.621269671274367,,,39.5482767915988,38.3261236095498
B02,EK09,UBE3A,370.571502685547,Manual,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),HEX,7411.43017578125,,,382.491058349609,358.771545410156,13997,3782,10215,621,1926,3161,8289,0,,,,,,,,1750,,,,,,,,,,,,,,5706.77540153451,952.537963469847,2237.13651964335,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,376.637817382813,364.536315917969,,,,,,,,,,,,
C02,EK10,PWSIC,79.9737396240234,Manual,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,1599.47485351563,,,84.8785095214844,75.0893402099609,15612,1026,14586,85,941,1515,13071,0,1.25738191604614,,,1.35598122383265,1.15878266974439,2,,1750,,,UBE3A,0.62869097339426,,,0.677990611916325,0.579391334872194,38.6009982043458,,,40.4595144260162,36.7424819826753,5877.36976894208,643.074475772617,987.065442387516,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,82.4736251831055,77.4791641235352,,,1.30768748976085,1.20707640381619,,,0.653843744880423,0.603538201908096,,,39.5492167963762,37.6527796123153
C02,EK10,UBE3A,127.206756591797,Manual,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),HEX,2544.13525390625,,,133.459518432617,120.987060546875,15612,1600,14012,85,941,1515,13071,0,,,,,,,,1750,,,,,,,,,,,,,,5784.62030677795,948.131643462447,1443.80047905717,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,130.392791748047,124.029335021973,,,,,,,,,,,,
D02,EK11,PWSIC,146.953704833984,Manual,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,2939.07421875,,,153.712326049805,140.233673095703,15576,1829,13747,344,1485,2305,11442,3.39211530453345,1.34014868736267,,,1.42008287318019,1.26021447725662,2,,1750,,,UBE3A,0.670074337609203,,,0.710041436590097,0.630107238628309,40.1224258417412,,,41.5553757884752,38.6894758950072,6358.8558143378,623.939234451579,1297.35746921094,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,150.39714050293,143.520324707031,,,1.38093103910003,1.29936631133678,,,0.690465519550015,0.649683155668391,,,40.8535157587226,39.3913359247598
D02,EK11,UBE3A,219.309555053711,Manual,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),HEX,4386.19091796875,,,227.703170776367,210.975387573242,15576,2649,12927,344,1485,2305,11442,3.39211530453345,,,,,,,,1750,,,,,,,,,,,,,,5438.97221294445,929.781487516325,1696.65656659048,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,223.584518432617,215.050048828125,,,,,,,,,,,,
E02,EK12,PWSIC,0,Manual,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,0,,,0.224039763212204,0,15734,0,15734,0,0,2139,13595,0,0,,,,,2,,1750,,,UBE3A,,,,,,,,,,,0,606.004891069353,606.004891069354,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,0.102368004620075,0,,,,,,,,,,,,
E02,EK12,UBE3A,171.908126831055,Manual,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),HEX,3438.16259765625,,,179.222579956055,164.63883972168,15734,2139,13595,0,0,2139,13595,0,,,,,,,,1750,,,,,,,,,,,,,,5640.57450751848,907.150588792841,1550.64834919415,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,175.634307861328,168.19367980957,,,,,,,,,,,,
F02,EK13,PWSIC,0.150501534342766,Manual,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,3.01003074645996,,,0.482124388217926,0.0227997452020645,15635,2,15633,1,1,1048,14585,0.0698412603433668,0.00368399196304381,,,0.00931011033252095,0,2,,1750,,,UBE3A,0.00184199596383368,,,0.00465505516626047,0,0.183860925301056,,,0.464133373158125,0,2887.03430175781,605.870864436744,606.162666603336,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,0.28935632109642,0.065315306186676,,,0.00642840044620888,0.000939583409125819,,,0.00321420022310444,0.00046979170456291,,,0.320577225609962,0.0471446249921505
F02,EK13,UBE3A,81.705680847168,Manual,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),HEX,1634.11364746094,,,86.6615753173828,76.7705688476563,15635,1049,14586,1,1,1048,14585,0.0698412603433668,,,,,,,,1750,,,,,,,,,,,,,,5469.9250907207,903.561053990697,1209.93239230408,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,84.2315902709961,79.1851806640625,,,,,,,,,,,,
G02,EK14,PWSIC,142.821594238281,Manual,CNV,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,2856.43188476563,,,149.498306274414,136.182586669922,15483,1770,13713,327,1443,1745,11968,8.89354743975619,1.68999195098877,,,1.79728184135689,1.5827019880889,2,,1750,,,UBE3A,0.844995957361448,,,0.898640920678445,0.791350994044451,45.7993392337774,,,47.3752735587063,44.2234049088484,7357.34108452231,607.810362803687,1379.40949588138,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,146.223342895508,139.429672241211,,,1.74473117076939,1.63525265867641,,,0.872365585384693,0.817626329338203,,,46.6033799786184,44.9952984889363
G02,EK14,UBE3A,169.020446777344,Manual,CNV,Unknown,Reference,ddPCR Supermix for Probes (no dUTP),HEX,3380.40893554688,,,176.327163696289,161.758834838867,15483,2072,13411,327,1443,1745,11968,8.89354743975619,,,,,,,,1750,,,,,,,,,,,,,,5642.23585940328,920.115545401254,1552.04949170444,Copy Number Variation Experiment with a Reference Copy Number of 1,,,,172.742691040039,165.309936523438,,,,,,,,,,,,
